coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Racer (1910 roller coaster),"4,500 ft (1,400 m)",40 mph (64 km/h),Kennywood,Operating,1927,Wood – Racing,Charlie Mach,46 in (117 cm),Racing,72.5 ft (22.1 m),0,Chain lift,"$75,000",4 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:32,1400 riders per hour,,John A. Miller,,50 ft (15 m),,,,Möbius Loop,,,,,,,,,,,,,,,,1910,40.3869,-79.8619,Wood,1927-01-01,40 mph ,64 km/h,40.0,mph,40.0,72.5,ft,,0,
Derby Racer,,,Revere Beach,Removed,1911,Wood – Racing,Fred W. Pearce,,,,0,,"$140,000",,,,,,,,,,,,Figure Eight,,,1936,,,,,,,,,,,,,1911,42.42,-70.986,Wood,1911-01-01,,,,,,,,,0,
The Great Scenic Railway,"967 m (3,173 ft)",60 km/h (37 mph),Luna Park Melbourne,Operating,December 1912,Wood,LaMarcus Thompson,100 cm (3 ft 3 in),,16 m (52 ft),0,Cable lift hill,,3 trains with 2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,,,,,,,,,,,,,,,,,Official website,,,,,,,,,,1912,,,Wood,1912-12-01,60 km/h ,37 mph,60.0,km/h,37.3,16.0,m,52.5,0,
Zippin Pippin,"2,865 ft (873 m)",40 mph (64 km/h),Other,,,Wood,The Gravity Group,48 in (122 cm),Wooden Coaster,70 ft (21 m),,Chain lift hill,,,,1:58,,,John A. Miller,64°,70 ft (21 m),,,,Martin & Vleminckx,,,2005,,,,,,,,,,,,,1912,,,Wood,,40 mph ,64 km/h,40.0,mph,40.0,70.0,ft,,0,
Racing Coaster,,,"Cleveland, Ohio, United States",Closed,,Other,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1913,41.58,-81.57,Other,,,,,,,,,,0,
Whirl Pool Dips,,,Tolchester Beach Park,Removed,1913,Wood,,,,,,,"$50,000",,,,,,,,,,,,,,,1959,,,,,,,,,,,,,1913,39.214,-76.231,Wood,1913-01-01,,,,,,,,,0,
Green Dragon (Lake Compounce),,,Lake Compounce,Removed,1914,Wood – Out and back,,,,,0,Chain,,,,,,,"Bowen, Moore",,,,,,,,,1926,,Wildcat,,,,,,,,,,,1914,41.642,-72.923,Wood,1914-01-01,,,,,,,,,0,
The Wild One (roller coaster),"4,000 ft (1,200 m)",53 mph (85 km/h),Six Flags America,,,Wood,Dinn Corporation,48 in (122 cm),,98 ft (30 m),0,,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Mardi Gras,1:52,,,John A. MillerHerbert Schmeck,,88 ft (27 m),,,,,,,1984,,,,Flash Pass Available,,,,,,,,,1917,38.9092,-76.7725,Wood,,53 mph ,85 km/h,53.0,mph,53.0,98.0,ft,,0,
Jack Rabbit (Clementon Park),"1,380 ft (420 m)",,Clementon Park,Removed,1919,Wood,Philadelphia Toboggan Coasters,,Wooden,50 ft (15 m),0,chain lift hill,,,,,,,John A. Miller,,50 ft (15 m),,,,,,,2002,,,,,,,,,,,,,1919,39.8041,-74.9844,Wood,1919-01-01,,,,,,50.0,ft,,0,
Jack Rabbit (Kennywood),"2,132 ft (650 m)",45 mph (72 km/h),Kennywood,Operating,1920,Wood,Harry C. Baker,42 in (107 cm),,40 ft (12 m),0,Chain lift hill,"$50,000 USD",3 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,1:36,,,John A. Miller,45°,70 ft (21 m),,,,"Terrain, Out and Back roller coaster",,,,,,,,,,,,,,,,1920,40.3867,-79.8628,Wood,1920-01-01,45 mph ,72 km/h,45.0,mph,45.0,40.0,ft,,0,
Jack Rabbit (Seabreeze),"2,130 ft (650 m)",42 mph (68 km/h),Seabreeze Amusement Park,Operating,1920,Wood,Harry C. Baker,48 in (122 cm),,75 ft (23 m),,chain,,,,,,,John A. Miller,52°,,,,,"Terrain, Out and Back",,,,,,,,,,,,,,,,1920,43.2316,-77.5432,Wood,1920-01-01,42 mph ,68 km/h,42.0,mph,42.0,75.0,ft,,0,
Scenic Railway (roller coaster),"3,000 ft (910 m)",35 mph (56 km/h),Dreamland Margate,Operating,3 July 1920,Wood,,,Scenic Railway,40 ft (12 m),,Cable (two lifts),,,,,,,,,40 ft (12 m),,,,,,,,,,,,,,,,,,,,1920,51.3853,1.3775,Wood,1920-07-03,35 mph ,56 km/h,35.0,mph,35.0,40.0,ft,,0,
Roller Coaster (Lagoon),"762 m (2,500 ft)",45 mph (72 km/h),Lagoon Amusement Park,Operating,July 15 1921,Wood,,46 in (117 cm),,18.9 m (62 ft),0,Chain lift hill,,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,,,,John A. Miller,,,,,,Double Out and Back,,,,,,,,,,,,,,,,1921,40.9849,-111.8951,Wood,1921-07-15,45 mph ,72 km/h,45.0,mph,45.0,18.9,m,62.0,0,
Big Dipper (Blackpool Pleasure Beach),"3,300 ft (1,000 m)",40 mph (64 km/h),Blackpool Pleasure Beach,Operating,23 August 1923,Wood – Out and back,William Strickler,46 in (117 cm),Wooden Out and back coaster,65 ft (20 m),0,Chain,"£25,000 (1922)",2 trains with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,,2:28,,3.7,John A. Miller,46°,50 ft (15 m),,,,Out and back,,,,,,,,,,,,,,,,1923,53.7892,-3.0569,Wood,1923-08-23,40 mph ,64 km/h,40.0,mph,40.0,65.0,ft,,0,3.7
Wild Cat (Hersheypark),"2,331 ft (710 m)",,Hersheypark,Removed,"June 16, 1923",Wood,Philadelphia Toboggan Coasters,,,,0,Chain lift hill,"$50,000",3 trains with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,,,,,Herbert Schmeck,,75 ft (23 m),,,,Out and Back,,,"September 9, 1945",,,,,,,,,,,,,1923,40.2882,-76.6535,Wood,1923-06-16,,,,,,,,,0,
The Bobs (roller coaster),"3,235 ft (986 m)",50 mph (80 km/h),Riverview Park,Removed,1924,Wood,Prior and Church,,,64.75 ft (19.74 m),0,Chain lift hill,,,,,,,Fred Church,,59.58 ft (18.16 m),,,,,,,1967,,,,,,,,,,,,,1924,41.9407,-87.6924,Wood,1924-01-01,50 mph ,80 km/h,50.0,mph,50.0,64.75,ft,,0,
Giant Dipper,"2,640 ft (800 m)",55 mph (89 km/h),Santa Cruz Beach Boardwalk,Operating,"May 17, 1924",Wood,Arthur Looff,50 in (127 cm),,70 ft (21 m),0,Chain lift hill,"$50,000",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:52,,,"Frank Prior, Frederick Church",,65 ft (20 m),,,,Double Out and Back,,,,,,,,,,,,,,,,1924,36.9647,-122.0153,Wood,1924-05-17,55 mph ,89 km/h,55.0,mph,55.0,70.0,ft,,0,
Pippin (roller coaster),"3,250 ft (990 m)",55 mph (89 km/h),Kennywood,Operating,1968,Wood,,52 in (132 cm),,70 ft (21 m),0,Chain lift hill,,3 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:41,,,Andy Vettel (1968)John A. Miller (1924),,90 ft (27 m),,,Pippin,Terrain,,,,,,Official website,,,,,,,,,,1924,40.3889,-79.865,Wood,1968-01-01,55 mph ,89 km/h,55.0,mph,55.0,70.0,ft,,0,
The Thriller (roller coaster),,,"Cleveland, Ohio, United States",Closed,,Other,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1924,41.58,-81.57,Other,,,,,,,,,,0,
Thunderhawk (Dorney Park),"2,767 ft (843 m)",45 mph (72 km/h),Dorney Park & Wildwater Kingdom,Operating,"March 30, 1924",Wood,Philadelphia Toboggan Coasters,48 in (122 cm),,80 ft (24 m),0,Chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:18,,,Herbert Paul Schmeck,45°,65 ft (20 m),,Fast Lane available,,Out and Back / Twister,,,,,,,,,,,,,,,,1924,40.5798,-75.5355,Wood,1924-03-30,45 mph ,72 km/h,45.0,mph,45.0,80.0,ft,,0,
Big Dipper (Geauga Lake),"2,680 ft (820 m)",32 mph (51 km/h),Geauga Lake,Removed,1925,Wood,,48 in (122 cm),Out and Back roller coaster,65 ft (20 m),0,Chain lift hill,"USD$50,000",2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:45,,,John A. Miller,,,,,,,,,"September 16, 2007",,,,,,,,,,,,,1925,41.3491,-81.378,Wood,1925-01-01,32 mph ,51 km/h,32.0,mph,32.0,65.0,ft,,0,
Cyclone (Revere Beach),"3,600 ft (1,100 m)",45 mph (72 km/h),Revere Beach,Removed,1925,Wood,Traver Engineering,,,100 ft (30 m),0,,"$125,000",,,,1400 riders per hour,,Frederick Church,,,,,,,,,1969,,,,,,,,,,,,,1925,42.42,-70.986,Wood,1925-01-01,45 mph ,72 km/h,45.0,mph,45.0,100.0,ft,,0,
Giant Dipper (Belmont Park),"2,600 ft (790 m)",48 mph (77 km/h),Other,Operating,"July 4, 1925",Wood,"Frank Prior, Fredrick Church",50 in (127 cm),Twister,70 ft (21 m),0,Chain lift hill,,,,1:45,,,"Frank Prior, Fredrick Church",40 degrees at bottom of first drop°,60 ft (18 m),,,,"8 layers laminated wood strips with 1/4""x3"" wide steel rail",,,,,,,,,,,,,,,,1925,,,Wood,1925-07-04,48 mph ,77 km/h,48.0,mph,48.0,70.0,ft,,0,
Jazz Railway,"1,200 ft (370 m)",,Rocky Glen Park,Removed,1925,Wood,Traver Engineering,,,26 ft (7.9 m),,Chain-lift,"less than $20,000",3 cars. Riders are arranged 2 across in a single row for a total of 6 riders per train.,,1 minute 30 seconds,,,Harry G. Traver,,,,,,,,,1927,,,,,,,,,,,,,1925,41.3533,-75.7059,Wood,1925-01-01,,,,,,26.0,ft,,0,
Thunderbolt (1925 roller coaster),,,Coney Island,Removed,1925,Wood,,,,86 ft (26 m),,,,,,1:17,,,John A. Miller,,,,,,,,,1982,,,,,,,,,,,,,1925,40.5739,-73.9825,Wood,1925-01-01,,,,,,86.0,ft,,0,
Thunderbolt (Savin Rock),"5,000 ft (1,500 m)",,Savin Rock,Removed,"May 5, 1925",Wood,Traver Engineering,,,92 ft (28 m),,,,,,,,,Frank Prior and Frederick Church,,,,,,,,,"September 21, 1938",,,,,,,,,,,,,1925,41.257,-72.95,Wood,1925-05-05,,,,,,92.0,ft,,0,
Crystal Beach Cyclone,"2,953 ft (900 m)",60 mph (97 km/h),Crystal Beach Park,Removed,1926,Wood,Traver Engineering,,,96 ft (29 m),,Chain-lift,"$176,000 CDN",,Cyclone Bay,1:10,85 riders per hour,4 Gs,Harry G. Traver,59°,90 ft (27 m),,,,Twister,,,"September 2, 1946",,,,,,,,,,,,,1926,42.8617,-79.0598,Wood,1926-01-01,60 mph ,97 km/h,60.0,mph,60.0,96.0,ft,,0,4.0
Sesquicentennial Cyclone,"2,000 ft (610 m)",,Sesquicentennial Exposition,Removed,"May 31, 1926",Wood,Traver Engineering,,,60 ft (18 m),,,,10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,,,Harry G. Traver,,,,,,,,,"November 30, 1926",,,,,,,,,,,,,1926,39.9087,-75.1733,Wood,1926-05-31,,,,,,60.0,ft,,0,
Tornado (Coney Island),"2,970 ft (910 m)",,Coney Island,Removed,1926,Wood,,,,71 ft (22 m),0,,"$250,000",,,,,,,,,,,,Twister,,,1977,,,,,,,,,,,,,1926,40.574,-73.979,Wood,1926-01-01,,,,,,71.0,ft,,0,
Coney Island Cyclone,"2,640 ft (800 m)",60 mph (97 km/h),"Luna Park, Coney Island",Operating,"June 26, 1927",Other,,54 in (137 cm),,85 ft (26 m),0,Chain-lift,"$175,000",,,2:30,1440 riders per hour,3.75,Vernon Keenan,58.1°,,,,Giant Racer,Compact Twister,,,,,,,,,,,,,,,,1927,40.5742,-73.9778,Other,1927-06-26,60 mph ,97 km/h,60.0,mph,60.0,85.0,ft,,0,3.75
Crystal Beach Cyclone,"2,953 ft (900 m)",60 mph (97 km/h),Crystal Beach Park,Removed,1926,Wood,Traver Engineering,,,96 ft (29 m),,Chain-lift,"$176,000 CDN",,Cyclone Bay,1:10,85 riders per hour,4 Gs,Harry G. Traver,59°,90 ft (27 m),,,,Twister,,,"September 2, 1946",,,,,,,,,,,,,1927,42.8617,-79.0598,Wood,1926-01-01,60 mph ,97 km/h,60.0,mph,60.0,96.0,ft,,0,4.0
Cyclone (Palisades Amusement Park),,,Palisades Amusement Park,Removed,"September 10, 1927",Wood,Traver Engineering,,Giant Cyclone Safety Coaster,,,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,,,Harry G. Traver,,,,,,,,,1934,,,,,,,,,,,,,1927,40.8281,-73.9778,Wood,1927-09-10,,,,,,,,,0,
Lightning (Revere Beach),,,Revere Beach,Removed,"July 2, 1927",Wood,Traver Engineering,,Giant Cyclone Safety Coaster,,0,,,,,,,,Harry G. Traver,,,,,,,,,1933,,,,,,,,,,,,,1927,42.42,-70.986,Wood,1927-07-02,,,,,,,,,0,
Racer (Kennywood),"4,500 ft (1,400 m)",40 mph (64 km/h),Kennywood,Operating,1927,Wood – Racing,Charlie Mach,46 in (117 cm),Racing,72.5 ft (22.1 m),0,Chain lift,"$75,000",4 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:32,1400 riders per hour,,John A. Miller,,50 ft (15 m),,,,Möbius Loop,,,,,,,,,,,,,,,,1927,40.3869,-79.8619,Wood,1927-01-01,40 mph ,64 km/h,40.0,mph,40.0,72.5,ft,,0,
Wildcat (Lake Compounce),"2,746 ft (837 m)",48 mph (77 km/h),Lake Compounce,Operating,1927,Wood – Out and back,Philadelphia Toboggan Coasters,48 in (122 cm),,85 ft (26 m),0,Chain Lift Hill,,2 trains with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,1:15,,,Herbert Paul Schmeck and Dinn Corporation,,78 ft (24 m),,,Green Dragon,,,,,,,,,,,,,,,,,1927,41.6408,-72.9231,Wood,1927-01-01,48 mph ,77 km/h,48.0,mph,48.0,85.0,ft,,0,
Zip (roller coaster),"2,500 ft (760 m)",,Oaks Amusement Park,Removed,1927,Wood,Traver Engineering,,,60 ft (18 m),,,,Single train with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,,between 1 minute 20 seconds and 1 minute 30 seconds,,,Harry G. Traver,,,,,,,,,1934,,,,,,,,,,,,,1927,45.473,-122.6606,Wood,1927-01-01,,,,,,60.0,ft,,0,
Airplane Coaster,"3,500 ft (1,100 m)",40 mph (64 km/h),Playland,Removed,"May 26, 1928",Wood,Frank W. Darling,,,92 ft (28 m),,,"$200,000",10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,,,Frederick Church,,,,,,,,,November 1957,,,,,,,,,,,,,1928,40.9658,-73.6739,Wood,1928-05-26,40 mph ,64 km/h,40.0,mph,40.0,92.0,ft,,0,
Montaña Suiza,"1,312.3 ft (400.0 m)",31 mph (50 km/h),Monte Igueldo Amusement Park,Operating,1928,Other,,,,32 ft (9.8 m),0,Cable-lift,,,,1:30,,,Erich Heidrich,,,,,,Terrain,,,,,,,,,,,,,,,,1928,43.3207,-2.0107,Other,1928-01-01,31 mph ,50 km/h,31.0,mph,31.0,32.0,ft,,0,
Dragon Coaster (Playland),"1,036 m (3,399 ft)",,Playland,Operating,1929,Wood,,48 in (122 cm),,24 m (79 ft),,Chain lift,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:40,,,Frederick Church,,23 m (75 ft),,,,Out & back,,,,,,,,,,,,,,,,1929,40.9675,-73.6739,Wood,1929-01-01,,,,,,24.0,m,78.7,0,
Flying Turns (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,Other,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1930,41.58,-81.57,Other,,,,,,,,,,0,
Yankee Cannonball,"609.6 m (2,000 ft)",56.3 km/h (35.0 mph),Canobie Lake Park,Operating,1930,Wood – Out and back,Philadelphia Toboggan Coasters,,,19.8 m (65 ft),,Chainlift,,,,,,,Herbert Paul Schmeck,,19.4 m (64 ft),,,,,,,,,,,,,,,,,,,,1930,42.7953,-71.2492,Wood,1930-01-01,56.3 km/h ,35.0 mph,56.3,km/h,35.0,19.8,m,65.0,0,
Roller Coaster (Great Yarmouth Pleasure Beach),"3,223.10 ft (982.40 m)",45 mph (72 km/h),Great Yarmouth Pleasure Beach,Operating,May 1932,Wood,,,,70 ft (21 m),0,Chain lift hill,,,,3:10,600 riders per hour,,Erich Heidrich,35°,51 ft (16 m),,,,Triple out and back,,,,,,,,,,,,,,,,1932,52.5928,1.7361,Wood,1932-05-01,45 mph ,72 km/h,45.0,mph,45.0,70.0,ft,,0,
Nickelodeon Streak,"2,293 ft (699 m)",35 mph (56 km/h),Blackpool Pleasure Beach,Operating,1933,Wood – Out and back,,46 in (117 cm),,61 ft (19 m),0,Chain,,Single train with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,Nickelodeon Land,1:44,,3,Charles Paige,,,,,,,,,,,,,,,,,,,,,,1933,53.7908,-3.0544,Wood,1933-01-01,35 mph ,56 km/h,35.0,mph,35.0,61.0,ft,,0,3.0
Zipper Dipper,,,Blackpool Pleasure Beach,Operating,1934,Other,,,,15 ft (4.6 m),0,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Nickelodeon Land,1:00,,,Charlie Paige,,,,,,,,,,,,,,,,,,,,,,1934,53.7902,-3.0539,Other,1934-01-01,,,,,,15.0,ft,,0,
Big Dipper (Luna Park Sydney),"2,623 ft (799 m)",58 mph (93 km/h),Other,,,Wood,,,,52 ft (16 m),,Chain,,,,3 min (approx),,,,45°,,,,,Wood,,,,,,,,,,,,,,,,1935,,,Wood,,58 mph ,93 km/h,58.0,mph,58.0,52.0,ft,,0,
Grand National (roller coaster),"3,302 ft (1,006 m)",40 mph (64 km/h),Blackpool Pleasure Beach,Closed,1935,Wood – Racing,,46 in (117 cm),Racing,62 ft (19 m),0,Chain lift,,4 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:20[1],,3.2,Charles Paige,39°,54 ft (16 m),,,,Möbius Loop,,,,,,,,,,,,,,,,1935,53.7919,-3.0531,Wood,1935-01-01,40 mph ,64 km/h,40.0,mph,40.0,62.0,ft,,0,3.2
Blue Streak (Conneaut Lake),"2,900 ft (880 m)",50 mph (80 km/h),Conneaut Lake Park,Closed,"May 23, 1938",Wood,,,Out and Back roller coaster,77 ft (23 m),0,,,Single train with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:20,,,Ed Vettel,,,,,,,,,,,,,,,,,,,,,,1937,41.6349,-80.318,Wood,1938-05-23,50 mph ,80 km/h,50.0,mph,50.0,77.0,ft,,0,
Derby Racer,,,Revere Beach,Removed,1911,Wood – Racing,Fred W. Pearce,,,,0,,"$140,000",,,,,,,,,,,,Figure Eight,,,1936,,,,,,,,,,,,,1937,42.42,-70.986,Wood,1911-01-01,,,,,,,,,0,
Blue Streak (Conneaut Lake),"2,900 ft (880 m)",50 mph (80 km/h),Conneaut Lake Park,Closed,"May 23, 1938",Wood,,,Out and Back roller coaster,77 ft (23 m),0,,,Single train with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:20,,,Ed Vettel,,,,,,,,,,,,,,,,,,,,,,1938,41.6349,-80.318,Wood,1938-05-23,50 mph ,80 km/h,50.0,mph,50.0,77.0,ft,,0,
Rollo Coaster,900 ft (270 m),25 mph (40 km/h),Idlewild and Soak Zone,Operating,1938,Wood,Philadelphia Toboggan Coasters,42 in (107 cm),,27 ft (8.2 m),0,Chain lift,,,,1:15,,,Herbert Paul Schmeck,,25 ft (7.6 m),,,,Out and Back,,,,,,,,,,,,,,,,1938,40.2602,-79.2814,Wood,1938-01-01,25 mph ,40 km/h,25.0,mph,25.0,27.0,ft,,0,
Cyclone (Lakeside Amusement Park),"2,800 ft (850 m)",55 mph (89 km/h),Lakeside Amusement Park,Operating,"May 17, 1940",Wood,,48 in (122 cm),,80 ft (24 m),0,Chain lift hill,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,2:00,"1,100 riders per hour",,Edward A. Vettel,50°,80 ft (24 m),,,,Terrain,,,,,,,,,,,,,,,,1940,39.7808,-105.054,Wood,1940-05-17,55 mph ,89 km/h,55.0,mph,55.0,80.0,ft,,0,
Flyer Comet (Whalom Park),"2,640 ft (800 m)",40 mph (64 km/h),Whalom Park,Removed,1940,Wood,National Amusement Devices,,,70 ft (21 m),,,,,,1:50,,,Vernon Keenan,,,,,,,,,2000,,,,,,,,,,,,,1940,42.5762,-71.746,Wood,1940-01-01,40 mph ,64 km/h,40.0,mph,40.0,70.0,ft,,0,
Giant Skyrocket,"6,600 ft (2,000 m)",,Other,,,Wood,Lake Contrary Amusement Park,,,110 ft (34 m),,,"$75,000",,,,,,Audley Ingersoll,,90 ft (27 m),,,,,,,,,,,,,,,,,,,,1941,,,Wood,,,,,,,110.0,ft,,0,
Thunderbolt (Six Flags New England),"2,600 ft (790 m)",40 mph (64 km/h),Six Flags New England,Operating,1941,Wood,Joseph E. Drambour,48 in (122 cm),,70 ft (21 m),0,,,,,1:00,,,"Harry C. Baker, Harry G Traver",,,,,,Figure Eight,,,,,,,Flash Pass Available,,,,,,,,,1941,42.0389,-72.6133,Wood,1941-01-01,40 mph ,64 km/h,40.0,mph,40.0,70.0,ft,,0,
Comet (Hersheypark),"3,360 ft (1,020 m)",50 mph (80 km/h),Hersheypark,Operating,1946,Wood,Philadelphia Toboggan Coasters,42 in (107 cm),,84 ft (26 m),,Chain lift hill,,,The Hollow,1:45,950 riders per hour,,Herbert Paul Schmeck,47°,78 ft (24 m),,,,Modified Double Out and Back,,,,,,,,,,,,,,,,1946,40.2864,-76.6556,Wood,1946-01-01,50 mph ,80 km/h,50.0,mph,50.0,84.0,ft,,0,
Comet (Lincoln Park),"3,000 ft (910 m)",55 mph (89 km/h),Lincoln Park,Removed,October 1946,Wood,National Amusement Devices,,,65 ft (20 m),,Chain lift,,,,2:10,,,"Edward Leis, Vernon Keenan",,,,,,,,,"September 29, 1987",,,,,,,,,,,,,1946,41.6362,-71.0432,Wood,1946-10-01,55 mph ,89 km/h,55.0,mph,55.0,65.0,ft,,0,
Little Dipper (Conneaut Lake Park),,,Conneaut Lake Park,Operating,1950s,Steel,Allan Herschell Company,,Little Dipper,,,Chain lift hill,,,,,,,,,,,,,Oval,,,,,,,,,,,,,,,,1950,41.6343,-80.3165,Steel,1950-01-01,,,,,,,,,0,
